sample_id,split,teacher_ADE_to_GT,teacher_FDE_to_GT,student_ADE_to_GT,student_FDE_to_GT,student_vs_teacher_ADE,student_vs_teacher_FDE,teacher_minus_student_ADE,teacher_minus_student_FDE,teacher_token_match_3000,teacher_invalid_i3000plus_rate,teacher_early_ADE,teacher_early_FDE,teacher_late_ADE,teacher_path_length_ratio,gt_final_speed_mps,teacher_final_speed_mps,gt_final_y_m,teacher_final_y_m,teacher_final_lateral_error_m,teacher_direction_cosine,teacher_failure_tags,teacher_abs_bin,group,kd_weight,relative_kd_group,relative_kd_weight,prefix_teacher_good,teacher_quality_bucket,teacher_unique_ids,teacher_max_same_token_run,student_summary_available
2ab96e64-9280-4b50-b2b6-2379701d9401__t0_11032903__evt_00,val,3.2471346855163574,9.098031044006348,3.225393772125244,15.740720748901367,6.132995128631592,24.833370208740234,0.02174091339111328,-6.6426897048950195,0.0,0.0,0.26598864793777466,0.8561960458755493,4.602200984954834,1.3152635347503603,5.518190383911133,7.827681064605713,1.5316332578659058,1.9647130966186523,0.4330798387527466,0.9999992251396179,E_long_horizon_divergence,D_middle,D_middle,0.25,group2_mixed_gt_primary,0.4,True,noisy,101,1,True
2ab96e64-9280-4b50-b2b6-2379701d9401__t0_12332903__evt_01,val,2.8292927742004395,8.576000213623047,8.918257713317871,31.112659454345703,11.743032455444336,39.67833709716797,-6.088964939117432,-22.536659240722656,0.0078125,0.0,0.19333653151988983,0.618789792060852,4.027454376220703,1.297040454114585,6.420919895172119,8.941852569580078,1.6945077180862427,1.6862491369247437,0.008258581161499023,0.9999076128005981,E_long_horizon_divergence,B_ok,B_ok,0.5,group2_mixed_gt_primary,0.4,True,noisy,106,1,True
2ae96d7f-2912-4bc0-86a4-b68f65bca430__t0_8743835__evt_00,val,0.5320946574211121,1.579927682876587,2.9114370346069336,9.265541076660156,2.4652342796325684,7.6878862380981445,-2.3793423771858215,-7.685613393783569,0.03125,0.0,0.029250789433717728,0.10216552764177322,0.7606601119041443,1.0242544228133623,10.058635711669922,10.805435180664062,-1.831710696220398,-2.0308337211608887,0.19912302494049072,0.9999973177909851,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,42,3,True
2c50e6de-6231-41c2-b3bf-44c3e2cfc626__t0_12782489__evt_00,val,0.31951087713241577,1.4807007312774658,1.773500680923462,9.871627807617188,1.459932565689087,8.395520210266113,-1.4539898037910461,-8.390927076339722,0.015625,0.0,0.03337594121694565,0.11151783913373947,0.44957226514816284,0.8880819631520228,2.631438970565796,1.1297999620437622,-0.075145423412323,0.044960543513298035,0.12010596692562103,0.9999547600746155,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,73,1,True
2d979299-98b5-443a-b236-5ccd3b19fce3__t0_4437988__evt_00,val,1.94609797000885,4.183019638061523,3.4276723861694336,10.337165832519531,4.786285877227783,12.808683395385742,-1.4815744161605835,-6.154146194458008,0.0078125,0.0,0.28564518690109253,0.8235322833061218,2.7008492946624756,1.0956947362709768,6.111539363861084,6.825236797332764,6.621271133422852,8.546701431274414,1.9254302978515625,0.999588668346405,E_long_horizon_divergence,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,noisy,83,1,True
2f3a0b15-1632-4a96-b194-2ab344206a02__t0_16343015__evt_00,val,1.7063522338867188,3.9694104194641113,1.6099443435668945,6.1150383949279785,3.214601755142212,9.851278305053711,0.09640789031982422,-2.145627975463867,0.03125,0.0,0.3305441737174988,0.8873463273048401,2.331719398498535,0.9090671651148706,7.940008163452148,7.015591621398926,0.7166786193847656,0.4452768564224243,0.2714017629623413,0.999986469745636,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,64,1,True
3107d317-e466-4b8d-a90b-ff993342e77a__t0_4831004__evt_00,val,2.2253499031066895,6.721820831298828,1.0089442729949951,3.8069698810577393,2.4733943939208984,10.086435317993164,1.2164056301116943,2.914850950241089,0.0703125,0.0,0.0934700146317482,0.3417769968509674,3.1943862438201904,1.0554903967246843,20.29813003540039,22.029735565185547,1.6457995176315308,0.47893625497817993,1.166863203048706,0.9999498724937439,E_long_horizon_divergence,B_ok,B_ok,0.5,group3_teacher_downweight_or_exclude,0.0,True,noisy,51,1,True
38044f1c-345e-4948-b83a-44b8166f50b8__t0_11022644__evt_01,val,0.3406555950641632,0.7110300660133362,1.2982454299926758,3.129155397415161,1.1969584226608276,3.06559157371521,-0.9575898349285126,-2.418125331401825,0.0390625,0.0,0.046270404011011124,0.1178339496254921,0.474467009305954,1.0053936483571821,16.948490142822266,17.13079071044922,-10.1658353805542,-9.838693618774414,0.32714176177978516,0.9999935626983643,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,51,3,True
38044f1c-345e-4948-b83a-44b8166f50b8__t0_7022644__evt_00,val,0.7890356779098511,2.2253336906433105,2.225192070007324,5.911879539489746,1.6110494136810303,4.3360700607299805,-1.4361563920974731,-3.6865458488464355,0.0703125,0.0,0.10268265008926392,0.2660185992717743,1.101014256477356,0.9791573502334655,17.25096893310547,16.499107360839844,-2.639291763305664,-2.8211798667907715,0.18188810348510742,0.9999975562095642,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,38,1,True
38ccd4dd-c535-4dca-ad96-cd970508205b__t0_13893579__evt_01,val,7.465119361877441,22.345069885253906,7.198288917541504,21.273605346679688,1.3878589868545532,5.0516557693481445,0.2668304443359375,1.0714645385742188,0.0,0.0,0.430905818939209,1.4642953872680664,10.662487983703613,2.5832466657197894,0.28598836064338684,6.11610221862793,0.09305044263601303,1.635402798652649,1.542352318763733,0.9992688894271851,A_stop_or_decel_failure;C_speed_scale_failure;E_long_horizon_divergence,C_bad,C_bad,0.0,group3_teacher_downweight_or_exclude,0.0,True,noisy,64,1,True
