sample_id,split,teacher_ADE_to_GT,teacher_FDE_to_GT,student_ADE_to_GT,student_FDE_to_GT,student_vs_teacher_ADE,student_vs_teacher_FDE,teacher_minus_student_ADE,teacher_minus_student_FDE,teacher_token_match_3000,teacher_invalid_i3000plus_rate,teacher_early_ADE,teacher_early_FDE,teacher_late_ADE,teacher_path_length_ratio,gt_final_speed_mps,teacher_final_speed_mps,gt_final_y_m,teacher_final_y_m,teacher_final_lateral_error_m,teacher_direction_cosine,teacher_failure_tags,teacher_abs_bin,group,kd_weight,relative_kd_group,relative_kd_weight,prefix_teacher_good,teacher_quality_bucket,teacher_unique_ids,teacher_max_same_token_run,student_summary_available
05313489-f832-48d2-b044-1215fbf1517f__t0_3470708__evt_00,train,0.28000718355178833,1.1628586053848267,0.06102452054619789,0.07877006381750107,0.24477721750736237,1.1724425554275513,0.21898266300559044,1.0840885415673256,0.0078125,0.0,0.06188835948705673,0.15539027750492096,0.3791521191596985,0.963444697000311,5.217649459838867,4.413480281829834,-7.447824001312256,-7.224371910095215,0.22345209121704102,0.9999990463256836,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,medium,104,1,True
054c8dba-2f98-4d80-aaae-41bacc76db05__t0_8998275__evt_00,train,2.6840596199035645,9.541261672973633,14.587576866149902,39.41584396362305,16.91704559326172,47.99489212036133,-11.903517246246338,-29.874582290649414,0.0390625,0.0,0.07145796716213226,0.1608998328447342,3.871605634689331,1.072834006177846,23.843032836914062,26.67361068725586,-8.60617733001709,-9.811338424682617,1.2051610946655273,0.9999915361404419,E_long_horizon_divergence,D_middle,D_middle,0.25,group2_mixed_gt_primary,0.4,True,noisy,66,1,True
056535bc-814d-4b4f-834f-33848248104b__t0_6330826__evt_00,train,0.5938340425491333,2.4677894115448,1.0574363470077515,5.389852046966553,1.2519690990447998,6.0272135734558105,-0.46360230445861816,-2.922062635421753,0.0,0.0,0.028285842388868332,0.07249020040035248,0.8509013652801514,0.8719848569705674,2.1126296520233154,1.0992038249969482,-2.856470823287964,-0.7191399335861206,2.137331008911133,0.9895347952842712,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,71,1,True
057f87be-ad6f-4883-850f-21e17b57d9ee__t0_2588518__evt_00,train,1.6063058376312256,4.828771591186523,0.01879565417766571,0.017331846058368683,1.609173059463501,4.829996585845947,1.5875101834535599,4.811439745128155,0.0,0.0,0.26432326436042786,0.615035891532898,2.2162978649139404,0.8490722317294345,7.017383575439453,5.726068019866943,0.10375691205263138,0.02064070850610733,0.08311620354652405,0.9999969005584717,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,noisy,86,1,True
0601e06d-e0b1-4315-b0dc-07aa99ef1981__t0_11910869__evt_00,train,0.3560360074043274,0.8964571356773376,2.129045009613037,7.104281425476074,2.0693106651306152,7.0273590087890625,-1.7730090022087097,-6.207824289798737,0.28125,0.0,0.13343170285224915,0.3336547315120697,0.45721977949142456,1.0063297537592224,19.465665817260742,20.61650276184082,-3.7358651161193848,-3.9998087882995605,0.2639436721801758,0.9999984502792358,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,63,1,True
066d71ee-d248-4abc-a86d-dda7bbed5d25__t0_6554373__evt_00,train,0.6316293478012085,2.1697652339935303,0.1168627068400383,0.2976166009902954,0.6968422532081604,2.4529948234558105,0.5147666409611702,1.8721486330032349,0.078125,0.0,0.034377120435237885,0.1735532134771347,0.9031076431274414,0.9879340321404171,7.817904949188232,7.408022403717041,-17.663326263427734,-16.527053833007812,1.1362724304199219,0.9994181394577026,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,109,1,True
066d71ee-d248-4abc-a86d-dda7bbed5d25__t0_7954373__evt_01,train,1.277136206626892,3.8940365314483643,0.1746949553489685,0.288874089717865,1.2017216682434082,3.832387685775757,1.1024412512779236,3.6051624417304993,0.0,0.0,0.11430174112319946,0.2926967442035675,1.8056972026824951,1.0625579065663122,10.226655960083008,11.009000778198242,-30.101573944091797,-33.199249267578125,3.097675323486328,0.99996018409729,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,112,1,True
0671e7a3-9d15-4fb9-a249-b82ea9e85a62__t0_10493264__evt_00,train,0.2918891906738281,1.5034396648406982,4.720052719116211,11.952808380126953,4.599998474121094,11.296964645385742,-4.428163528442383,-10.449368715286255,0.0234375,0.0,0.04277057573199272,0.06360914558172226,0.4051249325275421,0.9769823691643398,10.561885833740234,9.809207916259766,0.6489031910896301,0.3488345444202423,0.3000686466693878,0.9999895691871643,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,56,2,True
067b75af-02f3-4f40-866e-9649f355dea1__t0_14433401__evt_00,train,4.2666425704956055,12.677872657775879,0.11057057976722717,1.1893550157546997,4.185245513916016,11.488527297973633,4.156071990728378,11.48851764202118,0.015625,0.0,0.44761210680007935,1.2201848030090332,6.002566337585449,1.5177338906504654,1.0032464265823364,5.15327787399292,0.36093026399612427,0.23625677824020386,0.12467348575592041,0.9999645948410034,C_speed_scale_failure;E_long_horizon_divergence,C_bad,C_bad,0.0,group3_teacher_downweight_or_exclude,0.0,True,noisy,62,1,True
069e47bd-506f-4f96-a16f-41b994370e9f__t0_2986884__evt_00,train,1.1258429288864136,3.309591054916382,6.663665294647217,23.861112594604492,7.754767894744873,27.12310791015625,-5.537822365760803,-20.55152153968811,0.0234375,0.0,0.046037863940000534,0.1732812225818634,1.6166634559631348,1.0810858614966439,7.837953567504883,9.019068717956543,-1.2385097742080688,-0.8104202747344971,0.4280894994735718,0.9999262690544128,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,88,1,True
